#Organism/Name	TaxID	Group	SubGroup	Assembly Accession	Genes	Proteins	Status
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	869754	Fungi	Ascomycetes	GCA_001664035.1	6090	5838	Scaffold
Candida dubliniensis CD36	573826	Fungi	Ascomycetes	GCA_000026945.1	6093	5859	Complete Genome
Suhomyces tanzawaensis NRRL Y-17324	984487	Fungi	Ascomycetes	GCA_001661415.1	6143	5885	Scaffold
Saccharomyces cerevisiae YJM789	307796	Fungi	Ascomycetes	GCA_000181435.1	5903	5902	Scaffold
Meyerozyma guilliermondii ATCC 6260	294746	Fungi	Ascomycetes	GCA_000149425.1	6062	5920	Scaffold
[Candida] intermedia	45354	Fungi	Ascomycetes	GCA_900106115.1	5936	5931	Chromosome
Clavispora lusitaniae ATCC 42720	306902	Fungi	Ascomycetes	GCA_000003835.1	6133	5936	Scaffold
Spathaspora passalidarum NRRL Y-27907	619300	Fungi	Ascomycetes	GCA_000223485.1	5983	5983	Scaffold
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466635.1	5985	5985	Scaffold
Candida maltosa Xu316	1245528	Fungi	Ascomycetes	GCA_000344705.1	5986	5986	Contig
Kuraishia capsulata CBS 1993	1382522	Fungi	Ascomycetes	GCA_000576695.1	5989	5989	Scaffold
Hyphopichia burtonii NRRL Y-1933	984485	Fungi	Ascomycetes	GCA_001661395.1	6166	5996	Scaffold
Saccharomyces cerevisiae S288C	559292	Fungi	Ascomycetes	GCA_000146045.2	6445	6002	Complete Genome
Moesziomyces aphidis DSM 70725	1391700	Fungi	Basidiomycetes	GCA_000517465.1	6011	6011	Scaffold
Saccharomyces cerevisiae EC1118	643680	Fungi	Ascomycetes	GCA_000218975.1	7248	6017	Scaffold
Debaryomyces fabryi	58627	Fungi	Ascomycetes	GCA_001447935.1	6027	6027	Contig
Candida albicans SC5314	237561	Fungi	Ascomycetes	GCA_000182965.3	6263	6030	Chromosome
Cyberlindnera jadinii NRRL Y-1542	983966	Fungi	Ascomycetes	GCA_001661405.1	6184	6032	Scaffold
[Candida] intermedia	45354	Fungi	Ascomycetes	GCA_900106125.1	6073	6050	Chromosome
Candida albicans P76055	1094998	Fungi	Ascomycetes	GCA_000784505.1	6357	6228	Scaffold
Candida albicans P60002	1094986	Fungi	Ascomycetes	GCA_000784525.1	6359	6234	Scaffold
Candida albicans P75016	1094995	Fungi	Ascomycetes	GCA_000784595.1	6365	6235	Scaffold
Candida albicans P94015	1094983	Fungi	Ascomycetes	GCA_000773755.1	6368	6241	Scaffold
Candida albicans P75010	1094994	Fungi	Ascomycetes	GCA_000784575.1	6376	6245	Scaffold
Candida albicans P76067	1094999	Fungi	Ascomycetes	GCA_000784495.1	6373	6250	Scaffold
Candida albicans P87	1094984	Fungi	Ascomycetes	GCA_000774085.1	6379	6250	Scaffold
Candida albicans P57072	1094990	Fungi	Ascomycetes	GCA_000773805.1	6385	6254	Scaffold
Candida tropicalis MYA-3404	294747	Fungi	Ascomycetes	GCA_000006335.3	6441	6254	Scaffold
Candida albicans P37039	1094993	Fungi	Ascomycetes	GCA_000784515.1	6389	6257	Scaffold
Candida albicans P75063	1094997	Fungi	Ascomycetes	GCA_000775525.1	6388	6260	Scaffold
Candida albicans P37005	1094985	Fungi	Ascomycetes	GCA_000773745.1	6401	6271	Scaffold
Candida albicans P34048	1094991	Fungi	Ascomycetes	GCA_000775465.1	6402	6276	Scaffold
Candida albicans 12C	1094981	Fungi	Ascomycetes	GCA_000773845.1	6403	6277	Scaffold
Candida albicans 19F	1094987	Fungi	Ascomycetes	GCA_000775445.1	6410	6277	Scaffold
Candida albicans P57055	1094996	Fungi	Ascomycetes	GCA_000775505.1	6415	6287	Scaffold
Debaryomyces hansenii CBS767	284592	Fungi	Ascomycetes	GCA_000006445.2	6658	6290	Chromosome
Candida albicans L26	1094982	Fungi	Ascomycetes	GCA_000775455.1	6418	6291	Scaffold
Candida albicans P37037	1094992	Fungi	Ascomycetes	GCA_000773825.1	6424	6299	Scaffold
Candida albicans P78042	1095000	Fungi	Ascomycetes	GCA_000784615.1	6425	6299	Scaffold
Candida albicans Ca6	1165368	Fungi	Ascomycetes	GCA_000784695.1	6434	6303	Scaffold
Candida albicans GC75	1094988	Fungi	Ascomycetes	GCA_000773735.1	6439	6310	Scaffold
Candida albicans P78048	1094989	Fungi	Ascomycetes	GCA_000773725.1	6440	6312	Scaffold
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001634645.1	6967	6319	Chromosome
Candida albicans SC5314	237561	Fungi	Ascomycetes	GCA_000784655.1	6470	6337	Scaffold
Rozella allomycis CSF55	988480	Fungi	Other Fungi	GCA_000442015.1	6350	6350	Scaffold
Cryptococcus depauperatus CBS 7855	1295532	Fungi	Basidiomycetes	GCA_001720245.1	6521	6373	Scaffold
Xanthophyllomyces dendrorhous	5421	Fungi	Basidiomycetes	GCA_001007165.2	-	6380	Scaffold
Candida albicans SC5314	237561	Fungi	Ascomycetes	GCA_000784635.1	6524	6392	Scaffold
Babjeviella inositovora NRRL Y-12698	984486	Fungi	Ascomycetes	GCA_001661335.1	6796	6399	Scaffold
Aureobasidium pullulans	5580	Fungi	Ascomycetes	GCA_001678115.1	6411	6411	Scaffold
Yarrowia lipolytica	4952	Fungi	Ascomycetes	GCA_900087985.1	7298	6418	Scaffold
Wickerhamomyces anomalus NRRL Y-366-8	683960	Fungi	Ascomycetes	GCA_001661255.1	6575	6421	Scaffold
Ascosphaera apis ARSEF 7405	392613	Fungi	Ascomycetes	GCA_001636715.1	6442	6442	Scaffold
Ustilaginoidea virens	1159556	Fungi	Ascomycetes	GCA_000965225.2	6451	6451	Contig
Cryptococcus gattii VGII Ram5	1296110	Fungi	Basidiomycetes	GCA_000836375.1	6613	6463	Scaffold
Cryptococcus gattii VGII R265	294750	Fungi	Basidiomycetes	GCA_000149475.3	6637	6472	Scaffold
Yarrowia lipolytica CLIB122	284591	Fungi	Ascomycetes	GCA_000002525.1	7144	6472	Chromosome
Cryptococcus neoformans var. neoformans JEC21	214684	Fungi	Basidiomycetes	GCA_000091045.1	6617	6475	Chromosome
Cryptococcus gattii VGII MMRL2647	1296117	Fungi	Basidiomycetes	GCA_000875855.1	6624	6475	Scaffold
Cryptococcus gattii VGII CA1014	1296107	Fungi	Basidiomycetes	GCA_000875795.1	6628	6481	Scaffold
Erysiphe necator	52586	Fungi	Ascomycetes	GCA_000798715.1	6484	6484	Scaffold
Cryptococcus gattii VGII CBS 10090	1296101	Fungi	Basidiomycetes	GCA_000835765.1	6632	6485	Scaffold
Cryptococcus gattii VGII 99/473	1296104	Fungi	Basidiomycetes	GCA_000836455.1	6641	6488	Scaffold
Cryptococcus gattii VGII 2001/935-1	1334442	Fungi	Basidiomycetes	GCA_000835815.1	6645	6495	Scaffold
Blumeria graminis f. sp. hordei DH14	546991	Fungi	Ascomycetes	GCA_000151065.3	7061	6495	Scaffold
Cryptococcus gattii VGII LA55	1296106	Fungi	Basidiomycetes	GCA_000836315.1	6646	6497	Scaffold
Blumeria graminis f. sp. tritici 96224	1268274	Fungi	Ascomycetes	GCA_000418435.1	6538	6525	Scaffold
Cryptococcus depauperatus CBS 7841	1295531	Fungi	Basidiomycetes	GCA_001720195.1	6687	6537	Scaffold
Cryptococcus gattii WM276	367775	Fungi	Basidiomycetes	GCA_000185945.1	6576	6561	Chromosome
Cryptococcus gattii CA1873	1296111	Fungi	Basidiomycetes	GCA_000855695.1	6782	6634	Scaffold
Moesziomyces antarcticus T-34	1151754	Fungi	Basidiomycetes	GCA_000334475.1	6560	6640	Scaffold
Sporisorium reilianum SRZ2	999809	Fungi	Basidiomycetes	GCA_000230245.1	6806	6673	Chromosome
Rhodotorula sp. JG-1b	1305733	Fungi	Basidiomycetes	GCA_001541205.1	6790	6681	Scaffold
Sporisorium reilianum f. sp. reilianum	72559	Fungi	Basidiomycetes	GCA_900162835.1	6811	6682	Chromosome
Cryptococcus gattii CA1280	1296109	Fungi	Basidiomycetes	GCA_000836335.1	6831	6683	Scaffold
Cryptococcus gattii VGIV IND107	1296105	Fungi	Basidiomycetes	GCA_000835755.1	6843	6696	Scaffold
Wickerhamomyces ciferrii	1041607	Fungi	Ascomycetes	GCA_000313485.1	6702	6702	Contig
Protomyces lactucaedebilis	56484	Fungi	Ascomycetes	GCA_002105105.1	6771	6725	Contig
Mixia osmundae IAM 14324	764103	Fungi	Basidiomycetes	GCA_000241205.2	6726	6726	Contig
Cryptococcus gattii E566	1296102	Fungi	Basidiomycetes	GCA_000875815.1	6879	6732	Scaffold
Cryptococcus gattii NT-10	1296108	Fungi	Basidiomycetes	GCA_000935105.1	6969	6744	Scaffold
Cryptococcus gattii Ru294	1296112	Fungi	Basidiomycetes	GCA_000836355.1	6904	6757	Scaffold
Cryptococcus gattii EJB2	1296103	Fungi	Basidiomycetes	GCA_000835745.1	6908	6763	Scaffold
Moesziomyces antarcticus	84753	Fungi	Basidiomycetes	GCA_000747765.1	6879	6766	Scaffold
Ustilago maydis 521	237631	Fungi	Basidiomycetes	GCA_000328475.2	6910	6783	Chromosome
Ascoidea rubescens DSM 1968	1344418	Fungi	Ascomycetes	GCA_001661345.1	6962	6787	Scaffold
Galactomyces candidum	1173061	Fungi	Ascomycetes	GCA_001402995.1	7357	6799	Scaffold
Tilletiaria anomala UBC 951	1037660	Fungi	Basidiomycetes	GCA_000711695.1	6872	6808	Contig
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002217545.1	6840	6840	Scaffold
Mixia osmundae IAM 14324	764103	Fungi	Basidiomycetes	GCA_000708205.1	6858	6858	Scaffold
Cryptococcus neoformans var. grubii AD2-60a	1230059	Fungi	Basidiomycetes	GCA_002215775.1	6862	6862	Scaffold
Cryptococcus neoformans var. grubii Tu401-1	1230077	Fungi	Basidiomycetes	GCA_002222475.1	6862	6862	Scaffold
Escovopsis weberi	150374	Fungi	Ascomycetes	GCA_001278495.1	6870	6870	Scaffold
Anthracocystis flocculosa PF-1	1277687	Fungi	Basidiomycetes	GCA_000417875.1	6877	6877	Scaffold
Cryptococcus neoformans var. grubii AD1-7a	1230056	Fungi	Basidiomycetes	GCA_002220445.1	6878	6878	Contig
Cryptococcus neoformans var. grubii D17-1	1230058	Fungi	Basidiomycetes	GCA_002222255.1	6895	6895	Scaffold
Cryptococcus neoformans var. grubii Bt85	1230076	Fungi	Basidiomycetes	GCA_002215835.1	6900	6900	Scaffold
Cryptococcus neoformans var. grubii c45	1230068	Fungi	Basidiomycetes	GCA_002215855.1	6900	6900	Scaffold
Cryptococcus neoformans var. grubii Bt120	1230070	Fungi	Basidiomycetes	GCA_002222465.1	6906	6906	Scaffold
Cryptococcus neoformans var. grubii Bt1	1230073	Fungi	Basidiomycetes	GCA_002215705.1	6907	6907	Scaffold
Phaeomoniella chlamydospora	158046	Fungi	Ascomycetes	GCA_001006345.1	6907	6907	Scaffold
Cryptococcus neoformans var. grubii Gb118	1230060	Fungi	Basidiomycetes	GCA_002224005.1	6908	6908	Scaffold
Cryptococcus neoformans var. grubii MW-RSA852	1230069	Fungi	Basidiomycetes	GCA_002220035.1	6909	6909	Contig
Cryptococcus neoformans var. grubii MW-RSA36	1230062	Fungi	Basidiomycetes	GCA_002222395.1	6911	6911	Scaffold
Cryptococcus neoformans var. grubii Ze90-1	1230078	Fungi	Basidiomycetes	GCA_002222385.1	6912	6912	Scaffold
Cryptococcus neoformans var. grubii Bt63	1230075	Fungi	Basidiomycetes	GCA_002234625.1	6914	6914	Scaffold
Cryptococcus neoformans var. grubii A2-102-5	1230057	Fungi	Basidiomycetes	GCA_002222375.1	6915	6915	Scaffold
Cryptococcus neoformans var. grubii Bt15	1230071	Fungi	Basidiomycetes	GCA_002222335.1	6917	6917	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222245.1	6927	6927	Scaffold
Cryptococcus neoformans var. grubii C23	1230055	Fungi	Basidiomycetes	GCA_002215825.1	6932	6932	Scaffold
Cryptococcus neoformans var. grubii 125.91	1230079	Fungi	Basidiomycetes	GCA_002215885.1	6939	6939	Scaffold
Cryptococcus neoformans var. grubii MW-RSA1955	1230066	Fungi	Basidiomycetes	GCA_002222455.1	6940	6940	Contig
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222025.1	6941	6941	Scaffold
Cryptococcus neoformans var. grubii Th84	1230067	Fungi	Basidiomycetes	GCA_002222315.1	6941	6941	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222135.1	6942	6942	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222145.1	6942	6942	Scaffold
Cryptococcus neoformans var. grubii Tu259-1	1230072	Fungi	Basidiomycetes	GCA_002222325.1	6942	6942	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222155.1	6943	6943	Scaffold
Cryptococcus neoformans var. grubii Br795	1230061	Fungi	Basidiomycetes	GCA_002222225.1	6945	6945	Contig
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222165.1	6947	6947	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222115.1	6949	6949	Scaffold
Cryptococcus neoformans var. grubii CHC193	1230064	Fungi	Basidiomycetes	GCA_002222295.1	6960	6960	Contig
Cryptococcus neoformans var. grubii c8	1230063	Fungi	Basidiomycetes	GCA_002222405.1	6961	6961	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222015.1	6969	6969	Scaffold
Cryptococcus neoformans var. grubii AD1-83a	1230065	Fungi	Basidiomycetes	GCA_002215765.1	6969	6969	Scaffold
Ophiocordyceps sinensis CO18	911162	Fungi	Ascomycetes	GCA_000448365.1	6972	6972	Scaffold
[Candida] tenuis ATCC 10573	590646	Fungi	Ascomycetes	GCA_000223465.1	5547	6985	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002220045.1	6996	6996	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002222095.1	6996	6996	Scaffold
Saitoella complicata NRRL Y-17804	698492	Fungi	Ascomycetes	GCA_001661265.1	7211	7034	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002215755.1	7037	7037	Scaffold
Trichophyton violaceum	34388	Fungi	Ascomycetes	GCA_001651435.1	7037	7037	Scaffold
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002215745.1	7040	7040	Scaffold
Trichophyton rubrum	5551	Fungi	Ascomycetes	GCA_001651445.1	7051	7051	Scaffold
Scheffersomyces stipitis CBS 6054	322104	Fungi	Ascomycetes	GCA_000209165.1	7095	7094	Chromosome
Pichia kudriavzevii	4909	Fungi	Ascomycetes	GCA_000764455.1	7107	7107	Scaffold
Ustilago hordei	120017	Fungi	Basidiomycetes	GCA_000286035.1	7220	7111	Scaffold
Cryptococcus neoformans var. grubii A1-35-8	1230081	Fungi	Basidiomycetes	GCA_002221985.1	7114	7114	Scaffold
Saitoella complicata NRRL Y-17804	698492	Fungi	Ascomycetes	GCA_000227095.3	7119	7119	Contig
Cryptococcus neoformans var. grubii A5-35-17	1230080	Fungi	Basidiomycetes	GCA_002222215.1	7144	7144	Scaffold
Penicillium decumbens	69771	Fungi	Ascomycetes	GCA_002072245.1	7149	7149	Scaffold
Chaetomium thermophilum var. thermophilum DSM 1495	759272	Fungi	Ascomycetes	GCA_000221225.1	7470	7165	Scaffold
Elaphomyces granulatus	519963	Fungi	Ascomycetes	GCA_002240705.1	7171	7178	Scaffold
Ustilago bromivora	307758	Fungi	Basidiomycetes	GCA_900080155.1	7408	7227	Complete Genome
Coccidioides posadasii C735 delta SOWgp	222929	Fungi	Ascomycetes	GCA_000151335.1	7255	7229	Contig
Ceratocystis fimbriata CBS 114723	1035309	Fungi	Ascomycetes	GCA_000389695.3	7266	7266	Scaffold
Rhodotorula graminis WP1	578459	Fungi	Basidiomycetes	GCA_001329695.1	7429	7278	Scaffold
Coemansia reversa NRRL 1564	763665	Fungi	Other Fungi	GCA_002705745.1	7415	7341	Scaffold
Kockovaella imperatae	4999	Fungi	Basidiomycetes	GCA_002102565.1	7428	7392	Contig
Trichophyton benhamiae CBS 112371	663331	Fungi	Ascomycetes	GCA_001858085.1	7405	7405	Contig
[Candida] auris	498019	Fungi	Ascomycetes	GCA_001189475.1	7988	7461	Scaffold
Pseudozyma hubeiensis SY62	1305764	Fungi	Basidiomycetes	GCA_000403515.1	7618	7472	Scaffold
Tuber melanosporum	39416	Fungi	Ascomycetes	GCA_000151645.1	7496	7496	Scaffold
Ophiocordyceps camponoti-rufipedis	2004952	Fungi	Ascomycetes	GCA_002591395.1	7618	7618	Scaffold
Sporisorium scitamineum	49012	Fungi	Basidiomycetes	GCA_001243155.1	7711	7711	Scaffold
Uncinocarpus reesii 1704	336963	Fungi	Ascomycetes	GCA_000003515.2	7856	7760	Scaffold
Aspergillus rambellii	308745	Fungi	Ascomycetes	GCA_000986645.1	7761	7761	Contig
Cryptococcus neoformans var. grubii	178876	Fungi	Basidiomycetes	GCA_002216725.1	6967	7818	Chromosome
Microbotryum lychnidis-dioicae p1A1 Lamole	683840	Fungi	Basidiomycetes	GCA_000166175.1	7486	7819	Scaffold
Cryptococcus neoformans var. grubii H99	235443	Fungi	Basidiomycetes	GCA_000149245.3	8338	7826	Chromosome
Aspergillus ochraceoroseus	138278	Fungi	Ascomycetes	GCA_000986665.1	7829	7829	Contig
Kwoniella pini CBS 10737	1296096	Fungi	Basidiomycetes	GCA_000512605.2	7930	7829	Scaffold
Kwoniella heveanensis CBS 569	1296119	Fungi	Basidiomycetes	GCA_000507425.3	8001	7871	Scaffold
Glarea lozoyensis 74030	1104152	Fungi	Ascomycetes	GCA_000238015.2	8374	7926	Scaffold
Kwoniella heveanensis BCC8398	1296120	Fungi	Basidiomycetes	GCA_000507405.3	8048	7927	Scaffold
Yarrowia lipolytica	4952	Fungi	Ascomycetes	GCA_001761485.1	8746	7949	Complete Genome
Naematelia encephala	71784	Fungi	Basidiomycetes	GCA_002105065.1	8010	7964	Contig
Tilletia walkeri	117179	Fungi	Basidiomycetes	GCA_001645055.1	7970	7970	Scaffold
Trichophyton benhamiae CBS 112371	663331	Fungi	Ascomycetes	GCA_000151125.2	8035	7974	Contig
Ophiocordyceps australis	1399860	Fungi	Ascomycetes	GCA_002591405.1	7992	7992	Scaffold
Ceraceosorus bombacis	401625	Fungi	Basidiomycetes	GCA_900000165.1	8023	8022	Scaffold
Trichophyton verrucosum HKI 0517	663202	Fungi	Ascomycetes	GCA_000151505.1	8086	8028	Scaffold
Diplodia seriata	420778	Fungi	Ascomycetes	GCA_001975905.1	8050	8050	Scaffold
Zancudomyces culisetae	1213189	Fungi	Other Fungi	GCA_001969505.1	8244	8068	Scaffold
Paracoccidioides brasiliensis	121759	Fungi	Ascomycetes	GCA_001713645.1	8186	8070	Scaffold
Tsuchiyaea wingfieldii CBS 7118	1295528	Fungi	Basidiomycetes	GCA_001720155.1	8314	8094	Scaffold
Cordyceps confragosa	1105325	Fungi	Ascomycetes	GCA_001653215.1	8126	8126	Scaffold
Rhodotorula toruloides NP11	1130832	Fungi	Basidiomycetes	GCA_000320785.2	8167	8140	Scaffold
Microbotryum intermedium	269621	Fungi	Basidiomycetes	GCA_900096595.1	8142	8142	Contig
Ophiocordyceps australis	1399860	Fungi	Ascomycetes	GCA_002591415.1	8171	8171	Scaffold
Cryptococcus amylolentus CBS 6273	1296118	Fungi	Basidiomycetes	GCA_001720235.1	8409	8176	Scaffold
Lipomyces starkeyi NRRL Y-11557	675824	Fungi	Ascomycetes	GCA_001661325.1	8278	8183	Scaffold
Emmonsia parva	73231	Fungi	Ascomycetes	GCA_002572885.1	8201	8201	Scaffold
Xylona heveae TC161	1328760	Fungi	Ascomycetes	GCA_001619985.1	8346	8201	Scaffold
Drechmeria coniospora	98403	Fungi	Ascomycetes	GCA_001625195.1	8428	8236	Chromosome
Smittium mucronatum	133383	Fungi	Other Fungi	GCA_001953115.1	8372	8247	Scaffold
Elsinoe sp. CQ-2017a	1983410	Fungi	Ascomycetes	GCA_002895985.1	8281	8256	Scaffold
Trichophyton rubrum	5551	Fungi	Ascomycetes	GCA_000812105.1	8253	8264	Contig
Umbilicaria pustulata	136370	Fungi	Ascomycetes	GCA_900169345.1	8268	8268	Scaffold
Trichophyton interdigitale MR816	1215338	Fungi	Ascomycetes	GCA_000622975.1	8083	8282	Contig
Tremella mesenterica DSM 1558	578456	Fungi	Basidiomycetes	GCA_000271645.1	8309	8308	Scaffold
Trichosporon asahii var. asahii CBS 2479	1186058	Fungi	Basidiomycetes	GCA_000293215.1	8834	8311	Scaffold
Grosmannia clavigera kw1407	655863	Fungi	Ascomycetes	GCA_000143105.2	8312	8312	Scaffold
Cutaneotrichosporon oleaginosum	879819	Fungi	Basidiomycetes	GCA_001027345.1	8602	8320	Scaffold
Paracoccidioides brasiliensis	121759	Fungi	Ascomycetes	GCA_001713695.1	8438	8324	Scaffold
Scedosporium apiospermum	563466	Fungi	Ascomycetes	GCA_000732125.1	10917	8375	Scaffold
Paracoccidioides brasiliensis Pb18	502780	Fungi	Ascomycetes	GCA_000150735.2	8522	8390	Scaffold
Trichophyton interdigitale H6	1215336	Fungi	Ascomycetes	GCA_000616785.1	8209	8397	Scaffold
Kwoniella mangroviensis CBS 8507	1296122	Fungi	Basidiomycetes	GCA_000507465.3	8554	8422	Scaffold
Ustilaginoidea virens	1159556	Fungi	Ascomycetes	GCA_000687475.1	8426	8426	Scaffold
Paracoccidioides brasiliensis Pb03	482561	Fungi	Ascomycetes	GCA_000150475.2	8548	8427	Scaffold
Kwoniella mangroviensis CBS 8886	1296123	Fungi	Basidiomycetes	GCA_000507485.3	8560	8429	Scaffold
Kwoniella mangroviensis CBS 10435	1331196	Fungi	Basidiomycetes	GCA_000507885.2	8565	8429	Scaffold
Sanghuangporus baumii	108892	Fungi	Basidiomycetes	GCA_001481415.2	8455	8455	Scaffold
Moelleriella libera RCEF 2490	1081109	Fungi	Ascomycetes	GCA_001636675.1	8461	8461	Scaffold
Metarhizium album ARSEF 1941	1081103	Fungi	Ascomycetes	GCA_000804445.1	8472	8472	Scaffold
Rhodotorula toruloides	5286	Fungi	Basidiomycetes	GCA_000988875.2	8609	8490	Contig
Trichophyton tonsurans CBS 112818	647933	Fungi	Ascomycetes	GCA_000151455.1	8625	8521	Scaffold
Trichosporon asahii var. asahii CBS 8904	1220162	Fungi	Basidiomycetes	GCA_000299215.2	9074	8528	Scaffold
Pseudogymnoascus sp. VKM F-4246	1420902	Fungi	Ascomycetes	GCA_000750735.1	8540	8540	Contig
Lomentospora prolificans	41688	Fungi	Ascomycetes	GCA_002276285.1	8562	8560	Contig
Emmonsia parva UAMH 139	1246674	Fungi	Ascomycetes	GCA_001014755.1	8695	8562	Scaffold
Ophiocordyceps unilateralis	268505	Fungi	Ascomycetes	GCA_001272575.2	8577	8577	Scaffold
Kwoniella dejecticola CBS 10117	1296121	Fungi	Basidiomycetes	GCA_000512565.2	8723	8602	Scaffold
Aspergillus parasiticus SU-1	1403190	Fungi	Ascomycetes	GCA_000956085.1	8645	8645	Contig
Drechmeria coniospora	98403	Fungi	Ascomycetes	GCA_001618945.1	8661	8661	Scaffold
Pseudogymnoascus sp. VKM F-4513 (FW-928)	1420907	Fungi	Ascomycetes	GCA_000750755.1	8669	8669	Contig
Sporothrix schenckii ATCC 58251	1391915	Fungi	Ascomycetes	GCA_000474925.1	8805	8674	Scaffold
Trichophyton equinum CBS 127.97	559882	Fungi	Ascomycetes	GCA_000151175.1	8785	8676	Scaffold
Batrachochytrium dendrobatidis JAM81	684364	Fungi	Other Fungi	GCA_000203795.1	8700	8700	Scaffold
Trichophyton rubrum CBS 118892	559305	Fungi	Ascomycetes	GCA_000151425.1	8804	8706	Scaffold
Pseudogymnoascus sp. VKM F-4281 (FW-2241)	1420906	Fungi	Ascomycetes	GCA_000750745.1	8728	8728	Contig
Metarhizium rileyi RCEF 4871	1081105	Fungi	Ascomycetes	GCA_001636745.1	8764	8764	Scaffold
Microsporum canis CBS 113480	554155	Fungi	Ascomycetes	GCA_000151145.1	8847	8765	Scaffold
Emmonsia sp. CAC-2015a	1658172	Fungi	Ascomycetes	GCA_001660665.1	8857	8769	Scaffold
Claviceps purpurea 20.1	1111077	Fungi	Ascomycetes	GCA_000347355.1	8979	8823	Scaffold
Aspergillus fumigatus var. RP-2014	1476192	Fungi	Ascomycetes	GCA_000731615.1	8825	8825	Scaffold
Paracoccidioides lutzii Pb01	502779	Fungi	Ascomycetes	GCA_000150705.2	8953	8826	Scaffold
Phaeoacremonium minimum UCRPA7	1286976	Fungi	Ascomycetes	GCA_000392275.1	8834	8834	Scaffold
Pseudogymnoascus sp. VKM F-4514 (FW-929)	1420908	Fungi	Ascomycetes	GCA_000750795.1	8865	8865	Contig
Byssochlamys spectabilis No. 5	1356009	Fungi	Ascomycetes	GCA_000497085.1	8877	8877	Contig
Ophiostoma piceae UAMH 11346	1262450	Fungi	Ascomycetes	GCA_000410735.1	8884	8884	Scaffold
Acremonium chrysogenum ATCC 11550	857340	Fungi	Ascomycetes	GCA_000769265.1	9050	8901	Scaffold
Emmonsia crescens	73230	Fungi	Ascomycetes	GCA_002572855.1	8908	8908	Scaffold
Aspergillus ochraceoroseus IBT 24754	1392256	Fungi	Ascomycetes	GCA_002846915.2	9070	8917	Contig
Nannizzia gypsea CBS 118893	535722	Fungi	Ascomycetes	GCA_000150975.2	9029	8921	Scaffold
Emergomyces pasteuriana Ep9510	1447872	Fungi	Ascomycetes	GCA_001883825.1	9064	8950	Scaffold
Penicillium digitatum Pd1	1170230	Fungi	Ascomycetes	GCA_000315645.2	8962	8961	Scaffold
Tolypocladium paradoxum	94208	Fungi	Ascomycetes	GCA_002916505.1	8913	8983	Scaffold
Stemphylium lycopersici	183478	Fungi	Ascomycetes	GCA_001191545.1	9102	8997	Scaffold
Penicillium coprophilum	36646	Fungi	Ascomycetes	GCA_002072405.1	8999	8999	Scaffold
Trichoderma parareesei	858221	Fungi	Ascomycetes	GCA_001050175.1	9062	9062	Scaffold
Postia placenta Mad-698-R	561896	Fungi	Basidiomycetes	GCA_000006255.1	9087	9083	Scaffold
Sporothrix brasiliensis 5110	1398154	Fungi	Ascomycetes	GCA_000820605.1	9231	9091	Contig
Thermothelomyces thermophila ATCC 42464	573729	Fungi	Ascomycetes	GCA_000226095.1	9292	9097	Complete Genome
Trichoderma reesei QM6a	431241	Fungi	Ascomycetes	GCA_000167675.2	9120	9115	Scaffold
Aspergillus clavatus NRRL 1	344612	Fungi	Ascomycetes	GCA_000002715.1	9323	9121	Scaffold
Penicillium digitatum PHI26	1170229	Fungi	Ascomycetes	GCA_000315665.1	9134	9133	Scaffold
Kwoniella bestiolae CBS 10118	1296100	Fungi	Basidiomycetes	GCA_000512585.2	9270	9133	Scaffold
Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7	1095631	Fungi	Ascomycetes	GCA_000326105.1	10718	9143	Contig
Pseudogymnoascus destructans 20631-21	658429	Fungi	Ascomycetes	GCA_000184105.1	9224	9153	Scaffold
Elsinoe australis	40998	Fungi	Ascomycetes	GCA_003013795.1	9239	9223	Scaffold
Capronia coronata CBS 617.96	1182541	Fungi	Ascomycetes	GCA_000585585.1	9231	9231	Scaffold
Endocarpon pusillum Z07020	1263415	Fungi	Ascomycetes	GCA_000464535.1	9238	9238	Scaffold
Histoplasma capsulatum G186AR	447093	Fungi	Ascomycetes	GCA_000150115.1	9364	9254	Scaffold
